Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-01 00,0.0248297405788577,0.37407398602983366,0.5229538490188778,0.0004465939362144178
2022-12-01 01,0.0231719080254066,0.363290458305644,0.507878522907008,0.0002385909123541187
2022-12-01 02,0.027947552386926,0.3943540860924857,0.5513053430610377,0.0011295334954826652
2022-12-01 03,0.0222459639348608,0.3572675679053654,0.49945854762224345,0.00015935964244647861
2022-12-01 04,0.0172122525882456,0.32452531914882116,0.45368502245815256,6.123117735102599e-06
2022-12-01 05,0.0247345221647859,0.3734546289024452,0.5220879903765202,0.0004320565652661746
2022-12-01 06,0.0255451871927247,0.37872767580070466,0.5294596876195408,0.0005669339059838606
2022-12-01 07,0.0329144822719615,0.4266619485529546,0.5964715980219675,0.003187394731325815
2022-12-01 08,0.0271538309433863,0.3891912503320968,0.5440877205222377,0.0009149648295899908
2022-12-01 09,0.0247620272830202,0.3736335385302114,0.522338105278815,0.0004362212288299235
2022-12-01 10,0.0247942572071678,0.37384318110229786,0.5226311847071773,0.0004411370652797987
2022-12-01 11,0.0266171990660706,0.3857006778284555,0.5392079149377,0.0007863314263854126
2022-12-01 12,0.0256029312521931,0.3791032774649913,0.529984777156296,0.0005775283431792316
2022-12-01 13,0.024177607533522,0.3698321253186306,0.5170237457003629,0.00035363191034598314
2022-12-01 14,0.0251793000251548,0.37634772831614005,0.5261325311104095,0.0005029013311227712
2022-12-01 15,0.0314532103415439,0.4171569678832026,0.5831836752801267,0.0024498362302446393
2022-12-01 16,0.0285618589339105,0.39834990078846844,0.5568914750917845,0.0013162384508142134
2022-12-01 17,0.0239033095261417,0.36804792813833154,0.5145294455947907,0.00031899156236246716
2022-12-01 18,0.0291094201388717,0.4019115641314267,0.5618706653687607,0.001498286839365875
2022-12-01 19,0.0280139338556019,0.3947858705971082,0.5519089759707612,0.0011488285852700526
2022-12-01 20,0.0255034145647926,0.3784559618145844,0.5290798326171068,0.0005593537464107407
2022-12-01 21,0.0312417880926758,0.41578175198613654,0.5812611292773012,0.0023523448252047194
2022-12-01 22,0.0233991887731303,0.3647688272996363,0.5099452765026904,0.00026178253361410555
2022-12-01 23,0.0350208869059579,0.4403632555527339,0.6156259672101858,0.004444752413938329
2022-12-02 00,0.0298435203407229,0.40668658791927337,0.5685461284115502,0.001765980964403112
2022-12-02 01,0.0262705024552336,0.38344555712458184,0.5360552657395843,0.0007100227711368713
2022-12-02 02,0.0416332301347121,0.4833738638199526,0.6757546155043533,0.009760467090574194
2022-12-02 03,0.025114780233588,0.37592805326532075,0.5255458271658436,0.0004921558833433751
2022-12-02 04,0.0200021623934552,0.3426725498023864,0.47905477409482056,4.866853873502246e-05
2022-12-02 05,0.0277271968118319,0.39292076253501274,0.5493015627949325,0.0010669918271225551
2022-12-02 06,0.0278816783280445,0.39392560208258076,0.5507063242289585,0.0011105945024819203
2022-12-02 07,0.0322960148406368,0.4226390689935474,0.5908476294267185,0.0028616460822325595
2022-12-02 08,0.0300715937024773,0.4081701125457551,0.5706200895596292,0.0018547363945373404
2022-12-02 09,0.0257550323392274,0.3800926332871456,0.5313678924077361,0.0006060845012651644
2022-12-02 10,0.0252187032442892,0.3766040302599484,0.5264908401429303,0.0005095433379051655
2022-12-02 11,0.0291546438707594,0.40220572614772154,0.5622819026223564,0.001513990922148536
2022-12-02 12,0.0252640408636965,0.37689893306832284,0.5269031130207177,0.000517260749808399
2022-12-02 13,0.0267019046072371,0.3862516529855424,0.5399781758750362,0.0008057775060710306
2022-12-02 14,0.0280075649807025,0.39474444365148176,0.5518510612761353,0.0011469681750760662
2022-12-02 15,0.0318534823443784,0.41976057476183304,0.5868235066754145,0.002640795416512825
2022-12-02 16,0.0279189043479058,0.39416774222900264,0.5510448351286799,0.0011212716007910637
2022-12-02 17,0.0263987536842089,0.3842797793024716,0.5372215048130214,0.0007376407724619871
2022-12-02 18,0.0359286209777676,0.4462676971739185,0.6238803516031692,0.00505557161556881
2022-12-02 19,0.0337558080608511,0.432134431253744,0.6041221056727155,0.003662361922761223
2022-12-02 20,0.0316993091831242,0.41875774093808543,0.5854215492347992,0.0025662536441614296
2022-12-02 21,0.0489113246843162,0.530714914151936,0.7419372034743509,0.01749245786370567
2022-12-02 22,0.028283984742405,0.39654244198227073,0.5543646553316722,0.0012295135272168394
2022-12-02 23,0.0314138065744733,0.4169006623752918,0.5828253612650056,0.0024314896182179237
2022-12-03 00,0.0283644231100715,0.3970656609080993,0.5550961131752009,0.0012542303045319282
2022-12-03 01,0.0451894364018399,0.5065055418622735,0.7080926034913939,0.013339183535642007
2022-12-03 02,0.0620735836437602,0.6163300651553717,0.8616268221692162,0.03416204389802249
2022-12-03 03,0.0349628930167871,0.4399860288476575,0.6150986058732852,0.004407117846302255
2022-12-03 04,0.0303824401941858,0.4101920427788946,0.5734467394667511,0.0019800074164454543
2022-12-03 05,0.0278436978577121,0.3936785545421313,0.5503609528131594,0.0010997691854952435
