Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-01 00,0.0248297405788577,0.37407398602983366,0.4713332223975904,0.000765032115270588
2022-12-01 01,0.0231719080254066,0.363290458305644,0.4577459774651114,0.00043238569727485106
2022-12-01 02,0.027947552386926,0.3943540860924857,0.49688614847653195,0.0017819420247793415
2022-12-01 03,0.0222459639348608,0.3572675679053654,0.4501571355607604,0.0002995280756461131
2022-12-01 04,0.0172122525882456,0.32452531914882116,0.40890190212751465,1.5526264486301702e-05
2022-12-01 05,0.0247345221647859,0.3734546289024452,0.47055283241708096,0.0007423230960705179
2022-12-01 06,0.0255451871927247,0.37872767580070466,0.47719687150888784,0.0009507132977896616
2022-12-01 07,0.0329144822719615,0.4266619485529546,0.5375940551767228,0.004594133640834544
2022-12-01 08,0.0271538309433863,0.3891912503320968,0.49038097541844194,0.001470520337000466
2022-12-01 09,0.0247620272830202,0.3736335385302114,0.4707782585480664,0.0007488355511046955
2022-12-01 10,0.0247942572071678,0.37384318110229786,0.4710424081888953,0.0007565156089329512
2022-12-01 11,0.0266171990660706,0.3857006778284555,0.48598285406385394,0.001280844592927807
2022-12-01 12,0.0256029312521931,0.3791032774649913,0.477670129605889,0.0009668833051123481
2022-12-01 13,0.024177607533522,0.3698321253186306,0.4659884779014745,0.0006185820778451558
2022-12-01 14,0.0251793000251548,0.37634772831614005,0.47419813767833646,0.0008523972919032686
2022-12-01 15,0.0314532103415439,0.4171569678832026,0.5256177795328353,0.0036121438772979382
2022-12-01 16,0.0285618589339105,0.39834990078846844,0.5019208749934703,0.0020487457059017253
2022-12-01 17,0.0239033095261417,0.36804792813833154,0.46374038945429774,0.0005631766201381833
2022-12-01 18,0.0291094201388717,0.4019115641314267,0.5064085708055976,0.0023057708522439863
2022-12-01 19,0.0280139338556019,0.3947858705971082,0.4974301969523563,0.0018096812247595556
2022-12-01 20,0.0255034145647926,0.3784559618145844,0.47685451188637634,0.0009391276769425307
2022-12-01 21,0.0312417880926758,0.41578175198613654,0.5238850075025321,0.003480618129891772
2022-12-01 22,0.0233991887731303,0.3647688272996363,0.4596087223975417,0.00047046524594594285
2022-12-01 23,0.0350208869059579,0.4403632555527339,0.5548577019964448,0.006226747205482889
2022-12-02 00,0.0298435203407229,0.40668658791927337,0.5124251007782844,0.0026789703197965388
2022-12-02 01,0.0262705024552336,0.38344555712458184,0.48314140197697314,0.00116706707698394
2022-12-02 02,0.0416332301347121,0.4833738638199526,0.6090510684131403,0.012799964309905048
2022-12-02 03,0.025114780233588,0.37592805326532075,0.47366934711430414,0.0008357943513314095
2022-12-02 04,0.0200021623934552,0.3426725498023864,0.43176741275100683,0.00010191742705664788
2022-12-02 05,0.0277271968118319,0.39292076253501274,0.49508016079411604,0.0016917451669692016
