Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-01 00,0.0248297405788577,0.6,0.6000000000000001,0.00020144793562279823
2022-12-01 01,0.0231719080254066,0.6,0.6000000000000001,8.084941444317979e-05
2022-12-01 02,0.027947552386926,0.6,0.6000000000000001,0.0007535611997141129
2022-12-01 03,0.0222459639348608,0.6,0.6000000000000001,4.455586666327455e-05
2022-12-01 04,0.0172122525882456,0.6,0.6000000000000001,3.0171007026612516e-07
2022-12-01 05,0.0247345221647859,0.6,0.6000000000000001,0.00019204811358134347
2022-12-01 06,0.0255451871927247,0.6,0.6000000000000001,0.00028390018661668593
2022-12-01 07,0.0329144822719615,0.6,0.6000000000000001,0.003118674902607882
2022-12-01 08,0.0271538309433863,0.6,0.6000000000000001,0.000560569464345563
2022-12-01 09,0.0247620272830202,0.6,0.6000000000000001,0.00019472778888715204
2022-12-01 10,0.0247942572071678,0.6,0.6000000000000001,0.00019790445569602195
2022-12-01 11,0.0266171990660706,0.6,0.6000000000000001,0.00045250471213791315
2022-12-01 12,0.0256029312521931,0.6,0.6000000000000001,0.0002915291194455086
2022-12-01 13,0.024177607533522,0.6,0.6000000000000001,0.00014367113197437994
2022-12-01 14,0.0251793000251548,0.6,0.6000000000000001,0.00023903231252912739
2022-12-01 15,0.0314532103415439,0.6,0.6000000000000001,0.0021886309990825237
2022-12-01 16,0.0285618589339105,0.6,0.6000000000000001,0.0009327842008088293
2022-12-01 17,0.0239033095261417,0.6,0.6000000000000001,0.00012365594681847363
2022-12-01 18,0.0291094201388717,0.6,0.6000000000000001,0.00111639633864984
2022-12-01 19,0.0280139338556019,0.6,0.6000000000000001,0.0007716234544920238
2022-12-01 20,0.0255034145647926,0.6,0.6000000000000001,0.00027847669883601623
2022-12-01 21,0.0312417880926758,0.6,0.6000000000000001,0.0020714237009769225
2022-12-01 22,0.0233991887731303,0.6,0.6000000000000001,9.263570671887295e-05
2022-12-01 23,0.0350208869059579,0.6,0.6000000000000001,0.004845663355397225
2022-12-02 00,0.0298435203407229,0.6,0.6000000000000001,0.001400395314428378
2022-12-02 01,0.0262705024552336,0.6,0.6000000000000001,0.0003914560823025181
2022-12-02 02,0.0416332301347121,0.6,0.6000000000000001,0.013282855670575473
2022-12-02 03,0.025114780233588,0.6,0.6000000000000001,0.00023171987991239904
2022-12-02 04,0.0200021623934552,0.6,0.6000000000000001,7.488551563782666e-06
2022-12-02 05,0.0277271968118319,0.6,0.6000000000000001,0.0006957872512664253
2022-12-02 06,0.0278816783280445,0.6,0.6000000000000001,0.0007359403125582086
2022-12-02 07,0.0322960148406368,0.6,0.6000000000000001,0.0026990388469316537
2022-12-02 08,0.0300715937024773,0.6,0.6000000000000001,0.0014978955359896593
2022-12-02 09,0.0257550323392274,0.6,0.6000000000000001,0.00031236974901224123
2022-12-02 10,0.0252187032442892,0.6,0.6000000000000001,0.00024358431084123977
2022-12-02 11,0.0291546438707594,0.6,0.6000000000000001,0.001132613709970033
2022-12-02 12,0.0252640408636965,0.6,0.6000000000000001,0.00024890367937913885
2022-12-02 13,0.0267019046072371,0.6,0.6000000000000001,0.00046843882907172225
2022-12-02 14,0.0280075649807025,0.6,0.6000000000000001,0.0007698771160106813
2022-12-02 15,0.0318534823443784,0.6,0.6000000000000001,0.0024223398841704625
2022-12-02 16,0.0279189043479058,0.6,0.6000000000000001,0.0007458610651374781
2022-12-02 17,0.0263987536842089,0.6,0.6000000000000001,0.0004132727149150882
2022-12-02 18,0.0359286209777676,0.6,0.6000000000000001,0.005734926233939702
2022-12-02 19,0.0337558080608511,0.6,0.6000000000000001,0.003752574505903572
2022-12-02 20,0.0316993091831242,0.6,0.6000000000000001,0.0023304771153867215
2022-12-02 21,0.0489113246843162,0.6,0.6000000000000001,0.027051448286610606
2022-12-02 22,0.028283984742405,0.6,0.6000000000000001,0.0008483234359212817
2022-12-02 23,0.0314138065744733,0.6,0.6000000000000001,0.0021664622727827604
2022-12-03 00,0.0283644231100715,0.6,0.6000000000000001,0.0008721867558503255
2022-12-03 01,0.0451894364018399,0.6,0.6000000000000001,0.01952367428407844
2022-12-03 02,0.0620735836437602,0.6,0.6000000000000001,0.05829942002249863
2022-12-03 03,0.0349628930167871,0.6,0.6000000000000001,0.004791837893905351
2022-12-03 04,0.0303824401941858,0.6,0.6000000000000001,0.001638119886900109
2022-12-03 05,0.0278436978577121,0.6,0.6000000000000001,0.0007259170485547741
2022-12-03 06,0.0268541122077855,0.6,0.6000000000000001,0.0004981112684703257
2022-12-03 07,0.0322450926144119,0.6,0.6000000000000001,0.002666207549297099
2022-12-03 08,0.0232189427494847,0.6,0.6000000000000001,8.318455562414182e-05
2022-12-03 09,0.0272168503250889,0.6,0.6000000000000001,0.0005744014521805171
2022-12-03 10,0.0318840439392524,0.6,0.6000000000000001,0.0024408262972128885
2022-12-03 11,0.0271748254675512,0.6,0.6000000000000001,0.0005651500460603216
2022-12-03 12,0.0221968570353094,0.6,0.6000000000000001,4.308405969672187e-05
2022-12-03 13,0.0265014068946642,0.6,0.6000000000000001,0.0004313789629626748
2022-12-03 14,0.0267269137820483,0.6,0.6000000000000001,0.0004732219338275135
2022-12-03 15,0.0243170353886727,0.6,0.6000000000000001,0.00015477203008933227
2022-12-03 16,0.0272782995509245,0.6,0.6000000000000001,0.0005881281638940474
2022-12-03 17,0.0244531943869617,0.6,0.6000000000000001,0.00016624756154529037
2022-12-03 18,0.0217358952943394,0.6,0.6000000000000001,3.1100125826117846e-05
2022-12-03 19,0.0443008371973958,0.6,0.6000000000000001,0.017867965225474382
2022-12-03 20,0.0415019623189322,0.6,0.6000000000000001,0.013073238261876464
2022-12-03 21,0.0259259952404429,0.6,0.6000000000000001,0.00033712027848456906
