Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-01 00,0.0248297405788577,0.4473491231296017,0.3847202458914574,0.0019074959288427184
2022-12-01 01,0.0231719080254066,0.4174805090485689,0.35903323778176927,0.0014143624915579202
2022-12-01 02,0.027947552386926,0.5035216946469251,0.43302865739635554,0.003059030597761206
2022-12-01 03,0.0222459639348608,0.4007980843709062,0.34468635255897934,0.0011752895839870858
2022-12-01 04,0.0172122525882456,0.3101073923016847,0.26669235737944885,0.0003105196240462107
2022-12-01 05,0.0247345221647859,0.4456336048419446,0.3832449001640723,0.001876910491584124
2022-12-01 06,0.0255451871927247,0.4602390852435019,0.3958056133094116,0.0021460859030520626
2022-12-01 07,0.0329144822719615,0.5930092074809825,0.509987918433645,0.005460164212790775
2022-12-01 08,0.0271538309433863,0.48922148113285463,0.420730473774255,0.002738587450068856
2022-12-01 09,0.0247620272830202,0.44612915534858855,0.38367107359978614,0.0018857172539524403
2022-12-01 10,0.0247942572071678,0.44670983110152973,0.38417045474731554,0.0018960660416017024
2022-12-01 11,0.0266171990660706,0.4795531642610714,0.4124157212645214,0.002532385155478152
2022-12-01 12,0.0256029312521931,0.461279440630506,0.3967003189422352,0.0021660165251261992
2022-12-01 13,0.024177607533522,0.43559986038284676,0.3746158799292482,0.0017035376830654538
2022-12-01 14,0.0251793000251548,0.45364701864268764,0.39013643603271136,0.0020221350556681086
2022-12-01 15,0.0314532103415439,0.5666819603375778,0.48734648589031687,0.00468603726914166
2022-12-01 16,0.0285618589339105,0.5145894500370192,0.44254692703183646,0.003319514017178343
2022-12-01 17,0.0239033095261417,0.43065792501755107,0.3703658155150939,0.0016216135933527112
2022-12-01 18,0.0291094201388717,0.5244546769459042,0.4510310221734776,0.003560719443635599
2022-12-01 19,0.0280139338556019,0.5047176673438571,0.4340571939157171,0.00308665732957046
2022-12-01 20,0.0255034145647926,0.4594864817913274,0.3951583743405416,0.0021317304859479014
2022-12-01 21,0.0312417880926758,0.5628728364628899,0.4840706393580853,0.0045785282264711145
2022-12-01 22,0.0233991887731303,0.4215753501877878,0.3625548011614975,0.0014770217851057354
2022-12-01 23,0.0350208869059579,0.6309595945573895,0.5426252513193549,0.006666857619957306
2022-12-02 00,0.0298435203407229,0.5376807145093826,0.46240541447806904,0.003897206613713931
2022-12-02 01,0.0262705024552336,0.4733068474960062,0.40704388884656534,0.002403698067253377
2022-12-02 02,0.0416332301347121,0.7500919687286237,0.6450790931066164,0.011052169229803193
2022-12-02 03,0.025114780233588,0.45248458715894957,0.38913674495669665,0.00200069720587939
2022-12-02 04,0.0200021623934552,0.36037226321354227,0.30992014636364634,0.0007021389564642944
2022-12-02 05,0.0277271968118319,0.4995516220244587,0.4296143949410345,0.0029682338757679554
2022-12-02 06,0.0278816783280445,0.5023348637823803,0.4320079828528471,0.0030317405213963816
2022-12-02 07,0.0322960148406368,0.5818664868307755,0.5004051786744669,0.005125988318314244
2022-12-02 08,0.0300715937024773,0.5417898359102292,0.46593925888279714,0.004004759311352659
2022-12-02 09,0.0257550323392274,0.46401979499287865,0.39905702369387563,0.002218994991803007
2022-12-02 10,0.0252187032442892,0.45435693324982074,0.3907469625948458,0.00203528938838748
2022-12-02 11,0.0291546438707594,0.5252694577826333,0.4517317336930647,0.0035810169414696035
2022-12-02 12,0.0252640408636965,0.45517376595986164,0.391449438725481,0.0020504829142665355
2022-12-02 13,0.0267019046072371,0.4810792756372537,0.4137281770480382,0.002564368487806011
2022-12-02 14,0.0280075649807025,0.5046029214570638,0.4339585124530748,0.0030840012230573177
2022-12-02 15,0.0318534823443784,0.5738935270034741,0.4935484332229877,0.004892731057059641
2022-12-02 16,0.0279189043479058,0.503005552519126,0.4325847751664484,0.003047147015782228
2022-12-02 17,0.0263987536842089,0.47561750695054944,0.4090310559774725,0.0024508859725654894
2022-12-02 18,0.0359286209777676,0.647313935424112,0.5566899844647363,0.007217855474555505
2022-12-02 19,0.0337558080608511,0.6081670925475126,0.5230236995908608,0.005929685720453047
2022-12-02 20,0.0316993091831242,0.5711158407736021,0.4911596230652978,0.0048126326531234805
2022-12-02 21,0.0489113246843162,0.8812189615572178,0.7578483069392072,0.016669182875187205
2022-12-02 22,0.028283984742405,0.5095830837596292,0.43824145203328113,0.0032003517014483427
2022-12-02 23,0.0314138065744733,0.5659720358584615,0.48673595083827687,0.004665912510758356
2022-12-03 00,0.0283644231100715,0.5110323148994916,0.4394877908135628,0.0032346204232832757
2022-12-03 01,0.0451894364018399,0.8141629464424313,0.7001801339404908,0.013713049600210967
2022-12-03 02,0.0620735836437602,1.1183589745674907,0.961788718128042,0.02801121864215877
2022-12-03 03,0.0349628930167871,0.6299147380722789,0.5417266747421599,0.006632269802721266
2022-12-03 04,0.0303824401941858,0.5473902530814063,0.47075561765000945,0.004153613306312296
2022-12-03 05,0.0278436978577121,0.5016505823640833,0.43141950083311165,0.0030160629937705866
2022-12-03 06,0.0268541122077855,0.48382154901794966,0.41608653215543673,0.002622372665938833
2022-12-03 07,0.0322450926144119,0.5809490381294018,0.49961617279128556,0.005098896489349662
2022-12-03 08,0.0232189427494847,0.418327917925281,0.35976200941574166,0.00142720064433018
