Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-01 00,0.0248297405788577,0.3,0.2971842135022052,0.0048799203776273585
2022-12-01 01,0.0231719080254066,0.3,0.2971842135022052,0.003006804384973019
2022-12-01 02,0.027947552386926,0.6,0.5943684270044104,0.0007895604465411325
2022-12-01 03,0.0222459639348608,0.3,0.2971842135022052,0.0021953113640449913
2022-12-01 04,0.0172122525882456,0.3,0.2971842135022052,0.00016232979390524654
2022-12-01 05,0.0247345221647859,0.3,0.2971842135022052,0.00475742405359912
2022-12-01 06,0.0255451871927247,0.6,0.5943684270044104,0.0002999458476893167
2022-12-01 07,0.0329144822719615,0.6,0.5943684270044104,0.003229093526637235
2022-12-01 08,0.0271538309433863,0.6,0.5943684270044104,0.0005888240995102546
2022-12-01 09,0.0247620272830202,0.3,0.2971842135022052,0.004792621103117285
2022-12-01 10,0.0247942572071678,0.3,0.2971842135022052,0.004834058257408579
2022-12-01 11,0.0266171990660706,0.6,0.5943684270044104,0.00047617926873001423
2022-12-01 12,0.0256029312521931,0.6,0.5943684270044104,0.00030793599909755454
2022-12-01 13,0.024177607533522,0.3,0.2971842135022052,0.004077531577360755
2022-12-01 14,0.0251793000251548,0.6,0.5943684270044104,0.00025291495343977247
2022-12-01 15,0.0314532103415439,0.6,0.5943684270044104,0.002272772192631441
2022-12-01 16,0.0285618589339105,0.6,0.5943684270044104,0.0009755856304004019
2022-12-01 17,0.0239033095261417,0.3,0.2971842135022052,0.0037655547961775305
2022-12-01 18,0.0291094201388717,0.6,0.5943684270044104,0.0011658576182500765
2022-12-01 19,0.0280139338556019,0.6,0.5943684270044104,0.0008083236148941912
2022-12-01 20,0.0255034145647926,0.6,0.5943684270044104,0.000294264462771192
2022-12-01 21,0.0312417880926758,0.6,0.5943684270044104,0.0021520430977774274
2022-12-01 22,0.0233991887731303,0.3,0.2971842135022052,0.003231276087806193
2022-12-01 23,0.0350208869059579,0.6,0.5943684270044104,0.00499912463454799
2022-12-02 00,0.0298435203407229,0.6,0.5943684270044104,0.0014596599535424911
2022-12-02 01,0.0262705024552336,0.6,0.5943684270044104,0.00041244602751157734
2022-12-02 02,0.0416332301347121,0.8999999999999999,0.8915526405066154,0.004138402168477654
2022-12-02 03,0.025114780233588,0.6,0.5943684270044104,0.0002452432379178013
2022-12-02 04,0.0200021623934552,0.3,0.2971842135022052,0.0008612593358276053
2022-12-02 05,0.0277271968118319,0.6,0.5943684270044104,0.00072951890928444
2022-12-02 06,0.0278816783280445,0.6,0.5943684270044104,0.0007712521613988454
2022-12-02 07,0.0322960148406368,0.6,0.5943684270044104,0.002797936918618311
2022-12-02 08,0.0300715937024773,0.6,0.5943684270044104,0.0015604069576375126
2022-12-02 09,0.0257550323392274,0.6,0.5943684270044104,0.00032975451373830046
2022-12-02 10,0.0252187032442892,0.6,0.5943684270044104,0.0002576895957447568
2022-12-02 11,0.0291546438707594,0.6,0.5943684270044104,0.0011826500871623456
2022-12-02 12,0.0252640408636965,0.6,0.5943684270044104,0.00026326818288258336
2022-12-02 13,0.0267019046072371,0.6,0.5943684270044104,0.0004928017591685524
2022-12-02 14,0.0280075649807025,0.6,0.5943684270044104,0.0008065096701744273
2022-12-02 15,0.0318534823443784,0.6,0.5943684270044104,0.002513349078827417
2022-12-02 16,0.0279189043479058,0.6,0.5943684270044104,0.0007815603705584282
2022-12-02 17,0.0263987536842089,0.6,0.5943684270044104,0.00043523102991859604
2022-12-02 18,0.0359286209777676,0.6,0.5943684270044104,0.00590844116931875
2022-12-02 19,0.0337558080608511,0.6,0.5943684270044104,0.0038795262744195447
2022-12-02 20,0.0316993091831242,0.6,0.5943684270044104,0.0024188103071122427
2022-12-02 21,0.0489113246843162,0.8999999999999999,0.8915526405066154,0.011169140622364604
2022-12-02 22,0.028283984742405,0.6,0.5943684270044104,0.0008879602263408084
2022-12-02 23,0.0314138065744733,0.6,0.5943684270044104,0.002249941475203286
2022-12-03 00,0.0283644231100715,0.6,0.5943684270044104,0.0009127247250793717
2022-12-03 01,0.0451894364018399,0.8999999999999999,0.8915526405066154,0.007093709343086572
2022-12-03 02,0.0620735836437602,0.8999999999999999,0.8915526405066154,0.032184425433700314
2022-12-03 03,0.0349628930167871,0.6,0.5943684270044104,0.004944045110114341
2022-12-03 04,0.0303824401941858,0.6,0.5943684270044104,0.0017052071952588842
2022-12-03 05,0.0278436978577121,0.6,0.5943684270044104,0.0007608362604322772
2022-12-03 06,0.0268541122077855,0.6,0.5943684270044104,0.0005237435436981118
2022-12-03 07,0.0322450926144119,0.6,0.5943684270044104,0.0027641824353499458
2022-12-03 08,0.0232189427494847,0.3,0.2971842135022052,0.0030524276451778113
2022-12-03 09,0.0272168503250889,0.6,0.5943684270044104,0.0006032283626483076
2022-12-03 10,0.0318840439392524,0.6,0.5943684270044104,0.002532370454662069
2022-12-03 11,0.0271748254675512,0.6,0.5943684270044104,0.0005935945212850796
2022-12-03 12,0.0221968570353094,0.3,0.2971842135022052,0.0021567937851777845
2022-12-03 13,0.0265014068946642,0.6,0.5943684270044104,0.0004541332395097736
2022-12-03 14,0.0267269137820483,0.6,0.5943684270044104,0.0004977905651345316
2022-12-03 15,0.0243170353886727,0.3,0.2971842135022052,0.004241893858063629
2022-12-03 16,0.0272782995509245,0.6,0.5943684270044104,0.0006175201219686929
2022-12-03 17,0.0244531943869617,0.3,0.2971842135022052,0.004406173309306773
